u_m,v_m,mass_kg,area_m2,areal_mass_kg_m2
-5.625000000000000139e-02,-4.375000000000000416e-02,0.000000000000000000e+00,1.562499999999997051e-04,0.000000000000000000e+00
-4.374999999999999722e-02,-4.375000000000000416e-02,0.000000000000000000e+00,1.562500000000005725e-04,0.000000000000000000e+00
-3.125000000000000000e-02,-4.375000000000000416e-02,0.000000000000000000e+00,1.562499999999997051e-04,0.000000000000000000e+00
-1.875000000000000278e-02,-4.375000000000000416e-02,0.000000000000000000e+00,1.562500000000001388e-04,0.000000000000000000e+00
-6.250000000000000347e-03,-4.375000000000000416e-02,0.000000000000000000e+00,1.562500000000001388e-04,0.000000000000000000e+00
6.250000000000000347e-03,-4.375000000000000416e-02,1.339285713999999926e-09,1.562500000000001388e-04,8.571428569599991111e-06
1.874999999999999931e-02,-4.375000000000000416e-02,2.232142856999999996e-09,1.562500000000001388e-04,1.428571428479998790e-05
3.125000000000000000e-02,-4.375000000000000416e-02,5.591495413999999770e-09,1.562499999999997051e-04,3.578557064960006672e-05
4.375000000000000416e-02,-4.375000000000000416e-02,2.217744745999999920e-09,1.562500000000005725e-04,1.419356637439994792e-05
5.624999999999999445e-02,-4.375000000000000416e-02,4.812791289000000307e-09,1.562499999999997051e-04,3.080186424960005935e-05
6.875000000000000555e-02,-4.375000000000000416e-02,4.000579410000000322e-09,1.562499999999997051e-04,2.560370822400005034e-05
8.124999999999998890e-02,-4.375000000000000416e-02,0.000000000000000000e+00,1.562499999999997051e-04,0.000000000000000000e+00
9.375000000000000000e-02,-4.375000000000000416e-02,1.339285713999999926e-09,1.562500000000014398e-04,8.571428569599919960e-06
1.062500000000000111e-01,-4.375000000000000416e-02,0.000000000000000000e+00,1.562499999999992714e-04,0.000000000000000000e+00
1.187499999999999944e-01,-4.375000000000000416e-02,0.000000000000000000e+00,1.562500000000001388e-04,0.000000000000000000e+00
